Row,Timestamp,Combined Event Source,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,InputEventSource,Data,StimType.1,CPU Sys,Memory Sys,CPU Proc,Memory Proc,Event Group,Event Label,Event Text,Event Index,Category 1 active on ScreenRecording-1,Category 1 instance on ScreenRecording-1,CatI_tem1 active on ScreenRecording-1,CatI_tem1 instance on ScreenRecording-1
1669,290540,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:471;Y:755,TestImage,,,,,,,,,,,,
1670,290566,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:511;Y:750,TestImage,,,,,,,,,,,,
1671,290590,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:526;Y:744,TestImage,,,,,,,,,,,,
1672,290613,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:532;Y:742,TestImage,,,,,,,,,,,,
1673,290651,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:536;Y:742,TestImage,,,,,,,,,,,,
1674,290686,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:539;Y:740,TestImage,,,,,,,,,,,,
1675,290774,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:542;Y:738,TestImage,,,,,,,,,,,,
1676,290798,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:546;Y:737,TestImage,,,,,,,,,,,,
1677,290822,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:552;Y:735,TestImage,,,,,,,,,,,,
1678,290846,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:562;Y:733,TestImage,,,,,,,,,,,,
1679,290869,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:583;Y:732,TestImage,,,,,,,,,,,,
1680,290909,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:618;Y:732,TestImage,,,,,,,,,,,,
1681,290934,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:684;Y:732,TestImage,,,,,,,,,,,,
1682,290957,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:728;Y:732,TestImage,,,,,,,,,,,,
1683,290982,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:767;Y:732,TestImage,,,,,,,,,,,,
1684,291011,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:791;Y:732,TestImage,,,,,,,,,,,,
1685,291037,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:842;Y:732,TestImage,,,,,,,,,,,,
1686,291054,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,9.48675155639648,59.1430406081497,2.62345218658447,2014.5078125,,,,,,,,
1687,291062,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:861;Y:733,TestImage,,,,,,,,,,,,
1688,291086,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:868;Y:734,TestImage,,,,,,,,,,,,
1689,291141,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:869;Y:734,TestImage,,,,,,,,,,,,
1690,291462,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:869;Y:733,TestImage,,,,,,,,,,,,
1691,291485,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:869;Y:733,TestImage,,,,,,,,,,,,
1692,291510,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:871;Y:731,TestImage,,,,,,,,,,,,
1693,291534,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:876;Y:730,TestImage,,,,,,,,,,,,
1694,291564,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:883;Y:730,TestImage,,,,,,,,,,,,
1695,291590,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:909;Y:730,TestImage,,,,,,,,,,,,
1696,291613,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:928;Y:730,TestImage,,,,,,,,,,,,
1697,291637,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:946;Y:730,TestImage,,,,,,,,,,,,
1698,291661,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:961;Y:730,TestImage,,,,,,,,,,,,
